BRK_B
WFC
JPM
BAC
C
AXP
AIG
USB
GS
MET
SPG
MS
PRU
COF
PNC
BLK
BK
ACE
TRV
STT
AFL
AMT
SCHW
MMC
ALL
DFS
AON
CME
CB
BBT
PSA
BEN
AMP
TROW
MHFI
PLD
STI
HCP
VTR
FITB
EQR
HCN
WY
HIG
VNO
BXP
IVZ
PGR
AVB
ICE
L
MTB
MCO
HST
RF
PFG
LNC
NTRS
KEY
SLM
NYX
XL
KIM
LUK
UNM
CMA
MAC
PCL
CINF
HBAN
GNW
TMK
CBG
ZION
ETFC
AIZ
PBCT
HCBK
LM
NDAQ
AIV
