XOM
CVX
SLB
OXY
COP
PXD
HAL
EOG
APC
NOV
APA
PSX
NBL
BHI
WMB
VLO
SE
COG
MRO
HES
DVN
MPC
KMI
TSO
CAM
FTI
RRC
RIG
CHK
SWN
MUR
ESV
CNX
DNR
EQT
RDC
NE
NBR
HP
BTU
DO
QEP
NFX
WPX
