AAPL
ACN
ADBE
ADI
ADP
ADSK
AKAM
ALTR
AMAT
APH
BRCM
CA
CCI
CRM
CSC
CSCO
CTL
CTSH
CTXS
EA
EBAY
EMC
FFIV
FIS
FISV
FLIR
FSLR
FTR
GLW
GOOG
HPQ
HRS
IBM
INTC
INTU
JBL
JDSU
JNPR
KLAC
LLTC
LRCX
LSI
MA
MCHP
MOLX
MSFT
MSI
MU
NTAP
NVDA
ORCL
PAYX
QCOM
RHT
SNDK
STX
SYMC
T
TDC
TEL
TER
TSS
TXN
V
VRSN
VZ
WDC
WIN
WU
XLNX
XRX
YHOO
XLK
