20140203
00010a13.52ef9cfc.01.01	00072c3b.00015089.52ef2929.0001	0.5	USD	1.7976931348623157E308	null	20140203-15:09:51	0.0
00010a13.52ef9cfe.01.01	00072c3b.00015089.52ef2929.0001	0.5	USD	1.7976931348623157E308	null	20140203-15:09:51	0.0
0000f3e4.52ef92e3.01.01	00072c3b.00015089.52ef2937.0001	0.5	USD	1.7976931348623157E308	null	20140203-15:10:57	0.0
00010a13.52ef9cfd.01.01	00072c3b.00015089.52ef2929.0001	0.5	USD	1.7976931348623157E308	null	20140203-15:09:51	-2.84217E-14
0000e462.a5df3a95.01.01	00072c3b.00015089.52ef297e.0001	4.0	USD	1.7976931348623157E308	null	20140203-15:53:28	0.0
00011f93.52ef9e93.01.01	00072c3b.00015089.52ef2934.0001	2.0	USD	1.7976931348623157E308	null	20140203-15:10:37	0.0
00011e50.52ef68b8.01.01	00072c3b.00015089.52ef2937.0001	0.5	USD	1.7976931348623157E308	null	20140203-15:10:57	0.0
0000f073.52efcb10.01.01	00072c3b.00015089.52ef2934.0001	0.4	USD	1.7976931348623157E308	null	20140203-15:10:37	0.0
00011fb1.52efa12d.01.01	00072c3b.00015089.52ef2929.0001	0.0	USD	1.7976931348623157E308	null	20140203-15:09:51	-2.84217E-14
0000f321.52ef9b22.01.01	00072c3b.00015089.52ef2934.0001	0.8	USD	1.7976931348623157E308	null	20140203-15:10:37	0.0
0000f3e4.52ef92e4.01.01	00072c3b.00015089.52ef2937.0001	0.5	USD	1.7976931348623157E308	null	20140203-15:10:57	0.0
00010a13.52ef9cfb.01.01	00072c3b.00015089.52ef2929.0001	0.5	USD	1.7976931348623157E308	null	20140203-15:09:51	0.0
00011f93.52efa12e.01.01	00072c3b.00015089.52ef293e.0001	0.50435	USD	1.7976931348623157E308	null	20140203-15:29:50	4.57565
0000f321.52ef9b39.01.01	00072c3b.00015089.52ef2937.0001	1.2	USD	1.7976931348623157E308	null	20140203-15:10:57	0.0
00011fb1.52efa12f.01.01	00072c3b.00015089.52ef2929.0001	1.0	USD	1.7976931348623157E308	null	20140203-15:09:51	0.0
00011f93.52efa11d.01.01	00072c3b.00015089.52ef293e.0001	4.53915	USD	1.7976931348623157E308	null	20140203-15:29:15	41.1808
00011fb1.52efa12e.01.01	00072c3b.00015089.52ef2929.0001	0.5	USD	1.7976931348623157E308	null	20140203-15:09:51	-2.84217E-14
00011e50.52ef68b6.01.01	00072c3b.00015089.52ef2937.0001	1.0	USD	1.7976931348623157E308	null	20140203-15:10:57	0.0
00011e50.52ef68b7.01.01	00072c3b.00015089.52ef2937.0001	1.0	USD	1.7976931348623157E308	null	20140203-15:10:57	0.0
0000fd63.52ef9bcd.01.01	00072c3b.00015089.52ef2929.0001	0.5	USD	1.7976931348623157E308	null	20140203-15:09:51	0.0
0000da28.52efad0f.01.01	00072c3b.00015089.52ef2934.0001	0.4	USD	1.7976931348623157E308	null	20140203-15:10:37	0.0
00011fb1.52efa12c.01.01	00072c3b.00015089.52ef2929.0001	1.0	USD	1.7976931348623157E308	null	20140203-15:09:51	0.0
0000fd63.52ef9c02.01.01	00072c3b.00015089.52ef2934.0001	0.5	USD	1.7976931348623157E308	null	20140203-15:10:37	0.0
0000f073.52efcb0f.01.01	00072c3b.00015089.52ef2934.0001	0.4	USD	1.7976931348623157E308	null	20140203-15:10:37	0.0
